id	result
5000092	{"苏州": 0, "苏州市吴江区": 0}
5000093	{"舜杰路": 0, "舜杰路大通E家生鲜超市": 0}
5000094	{"郭婞淳": 1}
5000095	{"小口镇": 0}
5000096	{"湖人队": -1, "魔术师约翰逊": -1, "布朗": -1}
5000097	{"王力宏": -1, "李靓蕾": 0, "长文": 0}
5000098	{"福原爱": -1}
5000099	{"中国": 0, "美国": 0}
5000100	{"加拿大鹅": -1, "加拿大": 0, "羽绒服": 0}
5000101	{"周杰": -1, "娱乐圈": 0}
5000102	{"徐正": -1, "刘小捷": 0}
5000103	{"陈亚男": 0, "直播": 0, "朱小伟": 0}
5000104	{"塔利班": 0, "阿富汗": 0}
5000105	{"刘先生": 0, "小王": 0}
5000106	{"万柳园": 0}
5000107	{"零度极限": 1, "冬奥": 0}
5000108	{"日本": 0, "美国": 0}
5000109	{"骑士": 1, "马刺": -1}
5000110	{"省纪委": 0, "中共": 0}
5000111	{"杰恩·里维拉": 0}
5000112	{"凡凡": 0}
5000113	{"高萍": -2, "纪律": 0, "中央纪委国家监委驻国家税务总局纪检监察组": 0}
5000114	{"留村察看": 1, "沈丹萍": 1, "被爱情遗忘的角落": 1, "miumiu": 1, "夜上海": 1, "乌伟": 0}
5000115	{"拜登": 0, "总统": 0}
5000116	{"朴槿惠": -2, "韩国": 0}
5000117	{"习近平": 0}
5000118	{"厦门": 0}
5000119	{"裴伟士": 1, "袁国勇": 1}
5000120	{"症状": 0, "南京市": 0}
5000121	{"徐安玲": 0}
5000122	{"马倩": -1, "张铭": -1, "知乎": 0}
5000123	{"张家界市": 0}
5000124	{"观泉州": 0}
5000125	{"朴槿惠": -1, "韩国": 0}
5000126	{"威少": -1, "湖人": 0}
5000127	{"梁龙": -1, "潘斌龙": 1, "观众": 0, "电影": 0}
5000128	{"唐太宗": 0}
5000129	{"詹姆斯": -1, "球队": 0}
5000130	{"天津一书法协会办事处": -1, "国务院": 0}
5000131	{"厉某": -2, "日照市中心医院": 0, "B站": 0}
5000132	{"法律": 0}
5000133	{"欧洲": 0, "普京": 0}
5000134	{"朱高炽": 1}
5000135	{"庞坡洞": 0, "庞统": 0}
5000136	{"宁夏": 0}
5000137	{"北京汇源饮料食品集团有限公司": -1, "潼关县": 0}
5000138	{"核酸": 0, "阴性": 0}
5000139	{"阴性": 0, "轨迹": 0}
5000140	{"中国": 0, "经济": 0}
5000141	{"刘涛": 1, "王珂": 0}
5000142	{"美国": -1, "立陶宛": 0, "哈萨克斯坦": 0, "汪文斌": 0}
5000143	{"上饶市": 0}
5000144	{"周杰": 1, "还珠格格": 0}
5000145	{"海淀区": 0}
5000146	{"成都市": 0, "病毒": 0}
5000147	{"张庭": -1}
5000148	{"诺和诺德": 0, "赛诺菲": 0}
5000149	{"福原爱": 0}
5000150	{"中国": 0, "台湾": 0}
5000151	{"怡红院": -1}
5000152	{"何庆魁": 0, "赵本山": 1, "范伟": -1, "高秀敏": -1, "李云启": -2}
5000153	{"吴彦祖": 1}
5000154	{"曾国藩": 1, "翰林院": 0}
5000155	{"天气": 0}
5000156	{"威少": -1, "湖人": -1}
5000157	{"周某": -1, "阿里巴巴": 0}
5000158	{"冯春生": 0, "卓氏集团": 0}
5000159	{"加兰": 1, "詹姆斯": 0, "罚球": 0}
5000160	{"开封": 0}
5000161	{"刘学州": 0}
5000162	{"中国": 0, "海地": 0}
5000163	{"黄某某": -2, "刘勇": -2, "沈某某": -2}
5000164	{"杭州": 0, "南京": 0}
5000165	{"重伤": 0, "洪芳珍": 0}
5000166	{"阿富汗": 0, "塔利班": 0}
5000167	{"张静初": 1, "艺人": 0, "导演": 0}
5000168	{"朱武": 0, "史进": 0}
5000169	{"温州": 0}
5000170	{"张某某": -2}
5000171	{"山西队": 1, "费尔德": 1, "原帅": 1, "广厦队": -1, "邢志强": 1, "葛昭宝": 1, "篮板": 0, "孙铭徽": 1}
5000172	{"直播": 0}
5000173	{"吴京": 1, "票房": 0, "长津湖": 1, "电影": 0, "战狼": 1}
5000174	{"篮网": 1, "公牛": -1, "哈登": 1, "圣诞大战": 0}
5000175	{"河南": 0, "郑州市": 0}
5000176	{"约翰逊": -1, "安德鲁": -1, "英国": 0, "美国": 0}
5000177	{"郑爽": -1, "范冰冰": -1, "税收": 0}
5000178	{"保守党": 0, "约翰逊": -1}
5000179	{"勇士队": 1, "库里": -1, "命中率": 0, "战绩": 0}
5000180	{"曹锟": -1, "黎元洪": -1, "吴佩孚": 1}
5000181	{"陈睿": 0, "电商": 0}
5000182	{"山东": 0, "GDP": 0}
5000183	{"蒋介石": 0, "唐生智": -1, "南京": 0}
5000184	{"驻马店市": 0, "高考": 0}
5000185	{"美国": 0}
5000186	{"番禺区": 0, "广州": 0}
5000187	{"日本": 0}
5000188	{"洪阿哈阿帕伊岛": 0, "中国": 0}
5000189	{"李荣": 0}
5000190	{"西藏": 0, "萨迦": 0}
5000191	{"核酸检测": 0, "呈贡区": 0}
5000192	{"中国海军": 0, "美国海军": 0, "卡洛斯·德尔·托罗": 0, "中国": 0, "美国": 0, "海军": 0}
5000193	{"沈相奵": 0, "总统": 0}
5000194	{"潼关县": 0}
5000195	{"图兰朵": 1, "关晓彤": -1, "粉丝": 0}
5000196	{"金性勇": 0, "小宇": 0}
5000197	{"证监会": 0, "深圳证券交易所": 0}
5000198	{"胡歌": 1, "刘诗诗": -1, "粉丝": 0}
5000199	{"爱心": 0, "上海": 0}
5000200	{"当地时间": 0, "希腊": 0}
5000201	{"孙权": 0, "空城计": 0}
5000202	{"源代码": 1, "剧情": 0}
5000203	{"萧某春": -2, "朝阳": 0, "北京": 0}
5000204	{"詹姆斯": 1, "教练": 0}
5000205	{"南海区": 0, "佛山市": 0}
5000206	{"湖人": 0, "球队": 0}
5000207	{"延安": 0, "陕西": 0}
5000208	{"彭某": -2, "陈某梅": 0, "佛山": 0}
5000209	{"王某文": -1, "周某": -1, "阿里巴巴": 0}
5000210	{"杨彦仁": -1, "李铭臣": -1, "局长": 0, "海原县交通运输局": -1}
5000211	{"洛阳": 0, "风起洛阳": 0}
5000212	{"吕立军": -2, "刘三芳": -2, "河北": 0}
5000213	{"西双版纳州": 0, "亚洲象": 0, "亚洲": 0}
5000214	{"王芳": -2}
5000215	{"尹成": 0, "李娜": 0}
5000216	{"张涵予": 1, "央视": 0, "傅彪": 1}
5000217	{"杨幂": 1}
5000218	{"资本": 0, "红星资本局": 0}
5000219	{"字节跳动": 0}
5000220	{"王一博": 1, "肖战": 1}
5000221	{"刘信达": -1}
5000222	{"腾讯": 0}
5000223	{"外交": 0, "局势": 0}
5000224	{"白宫": 0}
5000225	{"福州": 0, "吕明": 0}
5000226	{"病例": 0, "地区": 0}
5000227	{"怀柔": 0, "怀柔山区": 0}
5000228	{"波罗申科": -2, "泽连斯基": -2}
5000229	{"孟令某": -2, "孟祥某": 0, "赵县": 0}
5000230	{"业务": 0, "苹果公司": 0}
5000231	{"雪中悍刀行": -1, "剧集": 0}
5000232	{"特斯拉服务中心": 0, "车辆": 0}
5000233	{"汤加": 0, "中国": 0}
5000234	{"叙利亚": 0, "美国": -1}
5000235	{"安东尼": 0}
5000236	{"接口": 0, "新品": 0}
5000237	{"李东宇": 1, "王宏峰": 1, "兰州": 0, "旅客": 0}
5000238	{"血吸虫": 0, "诸葛亮": 0}
5000239	{"玉树机场": 0, "青海省": 0}
5000240	{"姜保宁": 0, "李谦": 1, "曾舜晞": 1, "鞠婧祎": 1, "角色": 0, "演员": 0}
5000241	{"粉丝": 0, "直播": 0}
5000242	{"政治": 0}
5000243	{"伊拉克": 0, "卡迪米": 0}
5000244	{"直播": 0, "南龙": 0}
5000245	{"美国": -1, "李鸿章": 0}
5000246	{"好人": 0}
5000247	{"国家邮政局": 0}
5000248	{"广东": 0}
5000249	{"夏侯镔": 1, "陈大山": -1, "王牌": 0}
5000250	{"郑和": 0}
5000251	{"梦龙": -1, "欧洲": 0}
5000252	{"刑法": 0, "民法典": 0}
5000253	{"锦衣卫": 0, "东厂": 0}
5000254	{"青年医生": -1, "爱上特种兵": -1}
5000255	{"周海媚": 1, "主题曲": 0, "晚会": 0}
5000256	{"中国": 0, "中共中央": 0}
5000257	{"湖人": 1, "得分": 0, "罚球": 0}
5000258	{"开发者": 0, "终端": 0}
5000259	{"宋晓峰": 1, "雷佳音": 1, "赵本山": 0}
5000260	{"美国": 0}
5000261	{"北京市": 0, "通州区": 0}
5000262	{"股东": 0, "董事会": 0}
5000263	{"小龙女": 1, "李若彤": 1}
5000264	{"春秋道": -1, "武则天": 0}
5000265	{"李某": -2, "驾驶员": 0, "交警": 0, "机动车": 0}
5000266	{"陈多尔": 1, "和平区": 0}
5000267	{"关之琳": 1, "刘德华": 0, "马清伟": 0, "绯闻": 0, "陈美琪": 1}
5000268	{"广陵区": 0, "扬州市": 0}
5000269	{"塔利班": 0, "潘杰希尔省": 0}
5000270	{"新时代": 0, "习近平": 0}
5000271	{"原油": 0}
5000272	{"干部": 0, "基层": 0}
5000273	{"林氏集团": 0}
5000274	{"列车": 0, "客流": 0}
5000275	{"邹澜": 0}
5000276	{"森博之": 1, "铁道英雄": 1, "杨枫": 0, "藤原": 1, "中国": 0, "电影": 0}
5000277	{"美国": 0}
5000278	{"周锐": 1, "奕宏": 1}
5000279	{"沉睡花园": 1, "龚俊": 1, "乔欣": 0}
5000280	{"孙悦": 1, "韩国": 0, "专辑": 0}
5000281	{"孙悦": 1, "专辑": 0, "歌手": 0}
5000282	{"李某": -2, "上海": 0, "犯罪嫌疑人": 0}
5000283	{"文件": 0, "网易": 0}
5000284	{"刘晔": 1, "曹操": 0}
5000285	{"美联储": 0, "美国": 0}
5000286	{"学校": 0, "学生": 0}
5000287	{"老陈": 0}
5000288	{"毛先生": 0}
5000289	{"浙江": 0, "义乌": 0}
5000290	{"欧豪": 0, "长津湖": 0, "杨根思": 1, "王成": 1, "电影": 0}
5000291	{"美国": 0, "发言人": 0}
5000292	{"孕妇": 0}
5000293	{"跌幅": 0, "纽约": 0}
5000294	{"景德镇": 0, "施小琳": 0}
5000295	{"加尼": 0, "阿富汗": 0}
5000296	{"北京冬奥会": 0, "场馆": 0}
5000297	{"朱祁镇": 0, "王振": 0}
5000298	{"刘洋": 1, "毛阿敏": 0, "中植集团": 0}
5000299	{"雷霆": 1, "篮网": -1, "哈登": 0, "芝加哥": 0}
5000300	{"张思麟": -1, "白百何": 0, "导演": 0}
5000301	{"陈学冬": 0, "北京": 0}
5000302	{"舞帝利哥": -1, "粉丝": 0}
5000303	{"Angelababy": 1, "礼服": 0}
5000304	{"中国海军第40批护航编队": 0, "新华社": 0}
5000305	{"阴性": 0, "天津": 0}
5000306	{"李保田": 1}
5000307	{"李某": -1, "江宁": 0}
5000308	{"库里": -1, "勇士": -1, "命中率": 0, "纪录": 0}
5000309	{"冯小刚": 1, "导演": 0, "剧组": 0}
5000310	{"耶鲁大学": 0, "日本": 0}
5000311	{"呼伦湖": 0, "岱海": 0}
5000312	{"礼服": 0, "妆容": 0}
5000313	{"海南": 0}
5000314	{"中国": 0, "加拿大": 0}
5000315	{"业务": 0}
5000316	{"庆余年": 1, "网剧": 0, "范闲": 1}
5000317	{"小米": 0, "贺志强": 0}
5000318	{"杨幂": 1, "贾玲": 1, "张含韵": 1}
5000319	{"欧盟": 0, "英国": 0}
5000320	{"哈里": 0, "每日邮报": 0}
5000321	{"朱标": -1, "朱允炆": 1}
5000322	{"长潭西高速": 0}
5000323	{"小王": -2, "深圳": 0, "列车": 0}
5000324	{"汽车": 0, "丰田": 0}
5000325	{"丘索维金娜": 1, "德国": 0, "奥运": 0}
5000326	{"蔡英文": -1}
5000327	{"陈珊": 0, "戏份": 0}
5000328	{"易炼红": 0, "江西省": 0}
5000329	{"刘先生": 0}
5000330	{"塔利班": 0, "阿富汗": 0}
5000331	{"朱珠": 1}
5000332	{"长沙": 0, "张家界": 0}
5000333	{"吴彦霆": -1, "空军司令部": 0}
5000334	{"大衣哥": 0, "陈亚男": -1}
5000335	{"核酸": 0, "阳性": 0}
5000336	{"沈阳": 0}
5000337	{"雄安": 0, "央企": 0}
5000338	{"李白": -1}
5000339	{"王蒙徽": 0}
5000340	{"摩根大通": 0}
5000341	{"李雯雯": 1}
5000342	{"省政协": 0, "主席": 0}
5000343	{"张芳": 1}
5000344	{"山海经": 0}
5000345	{"印度": 0, "印度驻华大使馆": 0}
5000346	{"陈凯琳": 1}
5000347	{"王某": -2, "吴某": -2, "广州": 0, "团伙": 0}
5000348	{"地区": 0, "广西": 0}
5000349	{"人民银行": 0}
5000350	{"索尼": 0, "中国": 0}
5000351	{"张某": -2, "食堂": 0}
5000352	{"周杰": 0}
5000353	{"上野": -2, "东山警察署": 0, "日本": 0}
5000354	{"决赛": 0, "半决赛": 0}
5000355	{"额济纳旗": 0}
5000356	{"肖战": 1}
5000357	{"卫生健康委": 0, "决定": 0}
5000358	{"游戏": 0}
5000359	{"巴西": 0, "苹果": 0}
5000360	{"容祖儿": 1}
5000361	{"梅西": 1, "巴黎": 0, "央视": 0}
5000362	{"约基奇": 1, "杜兰特": 1, "字母哥": 1, "掘金队": 1, "阵容": 0, "赛季": 0}
5000363	{"学生": 0, "南开大学": 0}
5000364	{"中国人民大学行政管理学研究所": 0, "加拿大卡尔顿大学": 0}
5000365	{"货币政策": 0, "金融": 0}
5000366	{"张某": -2, "李某": 0}
5000367	{"拜登": 0, "美国": 0}
5000368	{"运势": 0}
5000369	{"联合国": 0, "美国": 0}
5000370	{"尹某": 0, "商丘市": 0, "虞城县": 0}
5000371	{"长津湖": 1, "票房": 0, "中国": 0}
5000372	{"哈雷尔": 0, "波普": 0}
5000373	{"王芝琳": 1, "浙江队": 1, "杨倩": 1, "辽宁": 0, "辽宁队": 0}
5000374	{"字母哥": 0, "阿奴诺比": 0, "猛龙": 1, "得分": 0, "西亚卡姆": 0}
5000375	{"篮网": 1, "米尔斯": 1, "杜兰特": 1, "球队": 0}
5000376	{"肖战": 0, "粉丝": 0}
5000377	{"周瑜": 1}
5000378	{"毛治高": 0}
5000379	{"病例": 0, "哈尔滨市": 0}
5000380	{"何猷君": 1, "何超欣": 1, "何鸿焱": 1}
5000381	{"詹姆斯": 1, "威少": 0}
5000382	{"Yumi": 0, "王力宏": -1}
5000383	{"加斯帕德·尤利尔": 1, "法国": 0}
5000384	{"东部机场集团有限公司": 0}
5000385	{"原油": 0, "美国": 0}
5000386	{"日本": 0, "零部件": 0}
5000387	{"汽车": 0, "比亚迪": 0}
5000388	{"张某": -2}
5000389	{"感染者": 0, "林某杰": -2}
5000390	{"大兴区": 0, "怀柔": 0}
5000391	{"李泽厚": 0}
5000392	{"航班": 0}
5000393	{"篮网": 1, "欧文": -1, "外线": 0, "米尔斯": 0}
5000394	{"逯恣祯": 1, "观众": 0, "前行者": 1}
5000395	{"吕立军": -2, "刘三芳": -2, "赞皇县": 0}
5000396	{"三门峡市": 0, "三门峡市文物考古研究所": 0}
5000397	{"海淀区": 0, "北京市": 0}
5000398	{"洪某某": 0, "洪芳珍": 0}
5000399	{"终结者": 0}
5000400	{"屈臣氏": -1, "延庆": 0, "宋岚": 0}
5000401	{"雪梨": -1, "薇娅": -2, "林珊珊": -2}
5000402	{"张霞": 0, "周婷": 0}
5000403	{"马晓伟": 0, "刘二狗": -1}
5000404	{"伊朗": 0}
5000405	{"朱律师": 0}
5000406	{"李波": 0, "国际货币基金组织": 0}
5000407	{"美国": 0, "英国": 0}
5000408	{"哈萨克斯坦": 0, "美军": 0}
5000409	{"觉醒年代": 1, "张桐": 0, "央视": 0}
5000410	{"王源": 1, "易烊千玺": 0, "王俊凯": 0}
5000411	{"温碧霞": 1, "刘晓庆": 1, "邬倩倩": 1, "杨丽菁": 1, "女星": 0}
5000412	{"苏贞昌": -1, "游锡堃": -1, "吴钊燮": -1, "国台办": 0, "台湾": 0}
5000413	{"温州": 0, "东海": 0}
5000414	{"汪明荃": 1}
5000415	{"刑事": 0, "律师": 0}
5000416	{"天津市": 0, "郑环宇": 0}
5000417	{"李佳琦": -1, "辛巴": -1}
5000418	{"票房": 0, "长津湖": 1}
5000419	{"雷军": 0}
5000420	{"墨戎苗寨": -1}
5000421	{"香港": 0, "梁君彦": 0}
5000422	{"贾雄辉": -1, "王浩": 1, "丁红杰": 1}
5000423	{"罗志祥": 0, "台湾": 0}
5000424	{"达菲": 0, "雪莉玫": 0}
5000425	{"联合国": 0, "苏丹": 0}
5000426	{"哈登": -1, "库里": 1}
5000427	{"病例": 0, "洋县": 0}
5000428	{"老干妈": 0, "贵阳": 0}
5000429	{"德国": 0, "立陶宛": -1}
5000430	{"被告人": 0, "曹某某": -2}
5000431	{"谌利军": -1}
5000432	{"人工智能": 0}
5000433	{"上海证券": 0, "上海": 0}
5000434	{"约翰逊": -1, "英国": 0}
5000435	{"中山": 0, "核酸": 0}
5000436	{"中国": 0}
5000437	{"彭先生": 0, "北京": 0}
5000438	{"台积电": 0, "标准数字化知识图谱白皮书": 0}
5000439	{"内蒙古": 0, "蚂蚁森林277号": 0}
5000440	{"肖战": 1, "重庆工商大学": 0, "粉丝": 0}
5000441	{"山东": 0, "威海": 0}
5000442	{"张铭": 0}
5000443	{"上海": 0}
5000444	{"景点": 0}
5000445	{"郑州市": 0}
5000446	{"乌兹别克": 0, "乌兹别克斯坦": 0}
5000447	{"南京": 0}
5000448	{"塔利班": 0, "阿富汗": 0}
5000449	{"戴某涛": -2, "范某恢": -2, "范某川": -2, "渭南市": 0, "陕西": 0}
5000450	{"奥密克戎": 0, "病毒": 0}
5000451	{"记者": 0}
5000452	{"学校": 0, "高中": 0}
5000453	{"唐纳德·特朗普": -1, "特朗普": 0, "纽约时报": 0}
5000454	{"二驴": 0, "散打哥": 0}
5000455	{"郑州": 0}
5000456	{"曹可凡": 1, "佟丽娅": 1, "唐嫣": 1, "王冠": 1, "演员": 0, "春晚": 0}
5000457	{"刘涛": 1, "电视剧": 0}
5000458	{"二驴": 0, "北京": 0}
5000459	{"夏伯渝": 1, "珠峰": 0}
5000460	{"李小萌": 1}
5000461	{"史密森热带研究所": 0, "天使鲨": 0}
5000462	{"河北省": 0, "国际奥委会": 0}
5000463	{"北京市": 0, "刘某某": 0}
5000464	{"中国": 0, "安德海": 1}
5000465	{"湖人": 1, "步行者": -1, "小萨": 0}
5000466	{"杜兰特": 0, "篮网": 1}
5000467	{"中国": 0, "加拿大": 0}
5000468	{"郑涛": 1, "金牌": 0, "中国": 0}
5000469	{"申通快递": -1}
5000470	{"刘宇宁": 0}
5000471	{"李某": -1}
5000472	{"当地时间": 0, "哈萨克斯坦": 0}
5000473	{"文物": 0, "三星堆": 0}
5000474	{"意大利": 0, "英国": 0}
5000475	{"奚梦瑶": 1, "何猷君": 0}
5000476	{"齐齐哈尔市": 0, "阴性": 0}
5000477	{"张芦依": 0}
5000478	{"原油": 0, "跌幅": 0}
5000479	{"新时代": 0, "习近平": 0}
5000480	{"张晓龙": 1, "尚九熙": 1, "吴建豪": 1}
5000481	{"还珠格格": -1, "演员": 0, "演技": 0}
5000482	{"美国": 0, "股票": 0}
5000483	{"白百何": 0}
5000484	{"韩国": 0, "台铁": 0}
5000485	{"肖战": 1, "亚太": 0}
5000486	{"公主": 0, "李隆基": 0}
5000487	{"香港": 0, "英国": 0}
5000488	{"台州": 0, "宁波": 0}
5000489	{"沈阳": 0}
5000490	{"皇帝": 0, "隋文帝": 0}
5000491	{"高铁": 0, "郑渝": 0}
5000492	{"市教育局": 0, "淄博": 0}
5000493	{"山西": 0, "气温": 0}
5000494	{"民进党": -1, "庞建国": 0}
5000495	{"中国": 0}
5000496	{"张学松": -1, "于月仙": 0, "于妈妈": 0}
5000497	{"汪小菲": 0, "台湾": 0}
5000498	{"病例": 0, "贺青华": 0}
5000499	{"世锦赛": 0, "中国女排": 0}
5000500	{"李现": 1, "三亚": 0, "韩商言": 0}
5000501	{"林为洲": 0, "苏伟硕": 0}
5000502	{"中国": 0, "主席": 0}
5000503	{"美国": 0, "美联社": 0}
5000504	{"中国": 0}
5000505	{"王丽坤": 1, "郑恺": 0, "于和伟": 1, "林更新": 1, "黄景瑜": 1}
5000506	{"小米": 0}
5000507	{"希腊": 0, "北京冬奥组委": 0}
5000508	{"王志文": 0, "江珊": 1, "许晴": 1}
5000509	{"场馆": 0, "北京冬奥组委": 0}
5000510	{"加拿大": 0, "加拿大鹅": 0}
5000511	{"阿里云": 0}
5000512	{"华为": 0, "姚安娜": 0}
5000513	{"柯克兰": -1, "中国": 0, "孟晚舟": 0}
5000514	{"公寓": 0, "长沙": 0}
5000515	{"王力宏": 0, "李靓蕾": 0}
5000516	{"太原市纪委": 0, "太原市": 0}
5000517	{"河间市": 0}
5000518	{"北交所": 0, "基金": 0}
5000519	{"当家主母": -1, "于正": 0, "剧情": 0}
5000520	{"市场监管总局": 0, "中华人民共和国反垄断法": 0}
5000521	{"汪永其": -2}
5000522	{"邓文迪": 0, "默多克": 0}
5000523	{"金元足球": -1, "中国": 0, "足球": 0}
5000524	{"日本": 0, "盘锦": 0}
5000525	{"春秋道": 0, "阴谋": 0}
5000526	{"综艺": 0, "节目": 0}
5000527	{"国足": 0, "阿曼": 0}
5000528	{"李隼": 0}
5000529	{"角色": 0, "人设": 0, "古装": 0, "男主": 0}
5000530	{"劳荣枝": -2, "合肥": 0}
5000531	{"中国": 0}
5000532	{"温州": 0}
5000533	{"美国": 0, "俄罗斯": 0}
5000534	{"球员": 0, "李铁": 0}
5000535	{"哈里梅根": -1, "布兰德雷斯": 0}
5000536	{"汽车": 0}
5000537	{"核酸": 0, "阴性": 0}
5000538	{"投资者": 0, "资产": 0}
5000539	{"病例": 0, "深圳": 0}
5000540	{"细胞": 0}
5000541	{"记者": 0, "仝宗旗": 0}
5000542	{"立陶宛": 0, "奥委会": 0}
5000543	{"汤加": 0, "太平洋": 0}
5000544	{"香港": 0, "艺人": 0}
5000545	{"塔博维尔": -1, "美国": 0, "中国": 0}
5000546	{"齐勇凯": 1, "董飞霞": 1, "李樟煜": 1, "中国": 0}
5000547	{"小芳": 0}
5000548	{"沈腾": 1, "尹正": 1, "周奇": 1, "王彦霖": 1, "乔杉": 1}
5000549	{"詹姆斯": 1}
5000550	{"利拉德": -1, "赛季": 0, "命中率": 0}
5000551	{"黄志忠": -1}
5000552	{"林满江": 1, "石红杏": 0, "齐本安": 0}
5000553	{"小鲜肉": 0, "刘德华": 1, "王晶": 1, "范丞丞": 1, "艺人": 0, "导演": 0}
5000554	{"俄罗斯": 0, "报纸报": 0}
5000555	{"粉丝": 0, "艺人": 0}
5000556	{"张国伟": 1, "中国": 0}
5000557	{"国务院": 0}
5000558	{"西安": 0}
5000559	{"徐若瑄": 1}
5000560	{"台湾": 0, "中国": 0}
5000561	{"球员": 0, "纽约": 0}
5000562	{"廖一梅": 1, "白冰": 1, "乘风破浪的姐姐": 1}
5000563	{"拉塞尔": 0}
5000564	{"均价": 0, "北辰": 0}
5000565	{"长城": 0, "中国": 0}
5000566	{"杜淳": 0, "王灿": 1, "综艺节目": 0}
5000567	{"西安市": 0, "地区": 0}
5000568	{"赵黄巢": 0, "轩辕青锋": 1}
5000569	{"美国": 0, "美国太平洋舰队": 0}
5000570	{"阿里巴巴": 0}
5000571	{"郭艾伦": -1, "裁判": -1}
